flags localhost:9092 4002
SendTask 52fdfc07-2182-654f 975
SendTask 52fdfc07-2182-654f 635
SendTask 52fdfc07-2182-654f 493
SendTask 52fdfc07-2182-654f 856
SendTask 52fdfc07-2182-654f 494
SendTask 52fdfc07-2182-654f 854
SendTask 52fdfc07-2182-654f 498
SendTask 52fdfc07-2182-654f 643
SendTask 52fdfc07-2182-654f 506
SendTask 52fdfc07-2182-654f 858
SendTask 52fdfc07-2182-654f 508
SendTask 52fdfc07-2182-654f 859
SendTask 52fdfc07-2182-654f 513
SendTask 52fdfc07-2182-654f 1080
SendTask 52fdfc07-2182-654f 514
SendTask 52fdfc07-2182-654f 864
SendTask 52fdfc07-2182-654f 520
SendTask 52fdfc07-2182-654f 866
SendTask 52fdfc07-2182-654f 425
SendTask 52fdfc07-2182-654f 521
SendTask 52fdfc07-2182-654f 204
SendTask 52fdfc07-2182-654f 563
SendTask 52fdfc07-2182-654f 527
SendTask 52fdfc07-2182-654f 530
SendTask 52fdfc07-2182-654f 539
SendTask 52fdfc07-2182-654f 542
SendTask 52fdfc07-2182-654f 547
SendTask 52fdfc07-2182-654f 550
SendTask 52fdfc07-2182-654f 551
SendTask 52fdfc07-2182-654f 553
SendTask 52fdfc07-2182-654f 554
SendTask 52fdfc07-2182-654f 557
SendTask 52fdfc07-2182-654f 558
SendTask 52fdfc07-2182-654f 985
SendTask 52fdfc07-2182-654f 222
SendTask 52fdfc07-2182-654f 463
SendTask 52fdfc07-2182-654f 225
SendTask 52fdfc07-2182-654f 468
SendTask 52fdfc07-2182-654f 651
SendTask 52fdfc07-2182-654f 653
SendTask 52fdfc07-2182-654f 658
SendTask 52fdfc07-2182-654f 995
SendTask 52fdfc07-2182-654f 253
SendTask 52fdfc07-2182-654f 1036
SendTask 52fdfc07-2182-654f 230
SendTask 52fdfc07-2182-654f 625
SendTask 52fdfc07-2182-654f 260
SendTask 52fdfc07-2182-654f 688
SendTask 52fdfc07-2182-654f 335
SendTask 52fdfc07-2182-654f 338
SendTask 52fdfc07-2182-654f 339
SendTask 52fdfc07-2182-654f 349
SendTask 52fdfc07-2182-654f 315
SendTask 52fdfc07-2182-654f 322
SendTask 52fdfc07-2182-654f 754
SendTask 52fdfc07-2182-654f 310
SendTask 52fdfc07-2182-654f 756
SendTask 52fdfc07-2182-654f 312
SendTask 52fdfc07-2182-654f 755
SendTask 52fdfc07-2182-654f 764
SendTask 52fdfc07-2182-654f 767
SendTask 52fdfc07-2182-654f 797
SendTask 52fdfc07-2182-654f 775
SendTask 52fdfc07-2182-654f 800
SendTask 52fdfc07-2182-654f 777
SendTask 52fdfc07-2182-654f 803
SendTask 52fdfc07-2182-654f 779
SendTask 52fdfc07-2182-654f 804
SendTask 52fdfc07-2182-654f 613
SendTask 52fdfc07-2182-654f 835
SendTask 52fdfc07-2182-654f 1915
SendTask 52fdfc07-2182-654f 617
SendTask 52fdfc07-2182-654f 840
SendTask 52fdfc07-2182-654f 621
SendTask 52fdfc07-2182-654f 215
SendTask 52fdfc07-2182-654f 847
SendTask 52fdfc07-2182-654f 963
SendTask 52fdfc07-2182-654f 630
SendTask 52fdfc07-2182-654f 632
SendTask 52fdfc07-2182-654f 967
SendTask 52fdfc07-2182-654f 634
SendTask 52fdfc07-2182-654f 971
SendTask 52fdfc07-2182-654f 636
SendTask 52fdfc07-2182-654f 491
SendTask 52fdfc07-2182-654f 637
SendTask 52fdfc07-2182-654f 638
SendTask 52fdfc07-2182-654f 642
SendTask 52fdfc07-2182-654f 857
SendTask 52fdfc07-2182-654f 501
SendTask 52fdfc07-2182-654f 519
SendTask 52fdfc07-2182-654f 531
SendTask 52fdfc07-2182-654f 979
SendTask 52fdfc07-2182-654f 1093
SendTask 52fdfc07-2182-654f 901
SendTask 52fdfc07-2182-654f 980
SendTask 52fdfc07-2182-654f 177
SendTask 52fdfc07-2182-654f 328
SendTask 52fdfc07-2182-654f 981
SendTask 52fdfc07-2182-654f 982
SendTask 52fdfc07-2182-654f 693
SendTask 52fdfc07-2182-654f 340
SendTask 52fdfc07-2182-654f 541
SendTask 52fdfc07-2182-654f 543
SendTask 52fdfc07-2182-654f 346
SendTask 52fdfc07-2182-654f 347
SendTask 52fdfc07-2182-654f 545
SendTask 52fdfc07-2182-654f 348
SendTask 52fdfc07-2182-654f 546
SendTask 52fdfc07-2182-654f 548
SendTask 52fdfc07-2182-654f 353
SendTask 52fdfc07-2182-654f 556
SendTask 52fdfc07-2182-654f 354
SendTask 52fdfc07-2182-654f 317
SendTask 52fdfc07-2182-654f 229
SendTask 52fdfc07-2182-654f 232
SendTask 52fdfc07-2182-654f 758
SendTask 52fdfc07-2182-654f 319
SendTask 52fdfc07-2182-654f 988
SendTask 52fdfc07-2182-654f 989
SendTask 52fdfc07-2182-654f 321
SendTask 52fdfc07-2182-654f 324
SendTask 52fdfc07-2182-654f 567
SendTask 52fdfc07-2182-654f 467
SendTask 52fdfc07-2182-654f 790
SendTask 52fdfc07-2182-654f 791
SendTask 52fdfc07-2182-654f 568
SendTask 52fdfc07-2182-654f 645
SendTask 52fdfc07-2182-654f 768
SendTask 52fdfc07-2182-654f 802
SendTask 52fdfc07-2182-654f 648
SendTask 52fdfc07-2182-654f 778
SendTask 52fdfc07-2182-654f 783
SendTask 52fdfc07-2182-654f 784
SendTask 52fdfc07-2182-654f 785
SendTask 52fdfc07-2182-654f 786
SendTask 52fdfc07-2182-654f 807
SendTask 52fdfc07-2182-654f 787
SendTask 52fdfc07-2182-654f 809
SendTask 52fdfc07-2182-654f 618
SendTask 52fdfc07-2182-654f 619
SendTask 52fdfc07-2182-654f 843
SendTask 52fdfc07-2182-654f 623
SendTask 52fdfc07-2182-654f 846
SendTask 52fdfc07-2182-654f 848
SendTask 52fdfc07-2182-654f 849
SendTask 52fdfc07-2182-654f 850
SendTask 52fdfc07-2182-654f 633
SendTask 52fdfc07-2182-654f 852
SendTask 52fdfc07-2182-654f 853
SendTask 52fdfc07-2182-654f 640
SendTask 52fdfc07-2182-654f 631
SendTask 52fdfc07-2182-654f 644
SendTask 52fdfc07-2182-654f 862
SendTask 52fdfc07-2182-654f 870
SendTask 52fdfc07-2182-654f 868
SendTask 52fdfc07-2182-654f 1914
SendTask 52fdfc07-2182-654f 903
SendTask 52fdfc07-2182-654f 905
SendTask 52fdfc07-2182-654f 906
SendTask 52fdfc07-2182-654f 907
SendTask 52fdfc07-2182-654f 913
SendTask 52fdfc07-2182-654f 360
SendTask 52fdfc07-2182-654f 924
SendTask 52fdfc07-2182-654f 384
SendTask 52fdfc07-2182-654f 386
SendTask 52fdfc07-2182-654f 390
SendTask 52fdfc07-2182-654f 394
SendTask 52fdfc07-2182-654f 395
SendTask 52fdfc07-2182-654f 404
SendTask 52fdfc07-2182-654f 405
SendTask 52fdfc07-2182-654f 408
SendTask 52fdfc07-2182-654f 167
SendTask 52fdfc07-2182-654f 409
SendTask 52fdfc07-2182-654f 168
SendTask 52fdfc07-2182-654f 173
SendTask 52fdfc07-2182-654f 417
SendTask 52fdfc07-2182-654f 181
